"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households"
"Rhea County, Tennessee",""
"    Number",""
"        Estimate","13,243"
"        Margin of Error","±395"
"    Percent Distribution",""
"        Estimate","13,243"
"        Margin of Error","±395"
"    Median income (dollars)",""
"        Estimate","58,133"
"        Margin of Error","±3,424"
"Roane County, Tennessee",""
"    Number",""
"        Estimate","22,539"
"        Margin of Error","±432"
"    Percent Distribution",""
"        Estimate","22,539"
"        Margin of Error","±432"
"    Median income (dollars)",""
"        Estimate","66,218"
"        Margin of Error","±4,162"
"Robertson County, Tennessee",""
"    Number",""
"        Estimate","27,755"
"        Margin of Error","±345"
"    Percent Distribution",""
"        Estimate","27,755"
"        Margin of Error","±345"
"    Median income (dollars)",""
"        Estimate","78,439"
"        Margin of Error","±4,008"
"Rutherford County, Tennessee",""
"    Number",""
"        Estimate","125,861"
"        Margin of Error","±980"
"    Percent Distribution",""
"        Estimate","125,861"
"        Margin of Error","±980"
"    Median income (dollars)",""
"        Estimate","82,588"
"        Margin of Error","±1,854"
"Scott County, Tennessee",""
"    Number",""
"        Estimate","8,638"
"        Margin of Error","±258"
"    Percent Distribution",""
"        Estimate","8,638"
"        Margin of Error","±258"
"    Median income (dollars)",""
"        Estimate","42,679"
"        Margin of Error","±4,640"
"Sequatchie County, Tennessee",""
"    Number",""
"        Estimate","6,121"
"        Margin of Error","±219"
"    Percent Distribution",""
"        Estimate","6,121"
"        Margin of Error","±219"
"    Median income (dollars)",""
"        Estimate","52,260"
"        Margin of Error","±5,086"
"Sevier County, Tennessee",""
"    Number",""
"        Estimate","39,221"
"        Margin of Error","±730"
"    Percent Distribution",""
"        Estimate","39,221"
"        Margin of Error","±730"
"    Median income (dollars)",""
"        Estimate","63,829"
"        Margin of Error","±3,050"
"Shelby County, Tennessee",""
"    Number",""
"        Estimate","360,590"
"        Margin of Error","±1,611"
"    Percent Distribution",""
"        Estimate","360,590"
"        Margin of Error","±1,611"
"    Median income (dollars)",""
"        Estimate","62,337"
"        Margin of Error","±1,088"
"Smith County, Tennessee",""
"    Number",""
"        Estimate","7,619"
"        Margin of Error","±274"
"    Percent Distribution",""
"        Estimate","7,619"
"        Margin of Error","±274"
"    Median income (dollars)",""
"        Estimate","62,799"
"        Margin of Error","±5,839"
"Stewart County, Tennessee",""
"    Number",""
"        Estimate","5,173"
"        Margin of Error","±261"
"    Percent Distribution",""
"        Estimate","5,173"
"        Margin of Error","±261"
"    Median income (dollars)",""
"        Estimate","62,052"
"        Margin of Error","±6,451"
